,X,Y,Z,Speed
302,-2853,-4161,542,287
303,-2875,-4169,542,286
304,-3063,-4227,540,286
305,-3071,-4229,540,257
306,-3503,-4315,524,229
307,-3548,-4321,521,201
308,-3636,-4331,516,181
309,-3670,-4334,515,168
310,-3713,-4338,512,155
311,-3778,-4345,510,150
312,-3798,-4347,509,146
313,-3878,-4356,505,136
314,-3949,-4361,500,126
315,-4003,-4369,497,115
316,-4017,-4373,497,111
317,-4114,-4401,496,107
318,-4125,-4405,495,103
319,-4163,-4445,492,97
320,-4187,-4483,492,91
321,-4194,-4495,492,89
322,-4216,-4537,491,88
323,-4222,-4547,490,87
324,-4236,-4570,490,83
325,-4242,-4579,489,80
326,-4277,-4613,490,77
327,-4289,-4622,490,75
328,-4318,-4635,490,71
329,-4372,-4647,489,68
330,-4380,-4649,490,68
331,-4419,-4651,490,69
332,-4425,-4650,490,70
333,-4504,-4641,490,75
334,-4512,-4639,489,81
335,-4562,-4626,489,89
336,-4605,-4615,489,100
337,-4655,-4604,489,112
338,-4732,-4599,490,117
339,-4804,-4603,489,122
340,-4866,-4610,489,130
341,-4893,-4613,488,139
342,-4971,-4626,488,151
343,-5001,-4631,489,156
344,-5137,-4652,489,161
345,-5170,-4656,489,166
346,-5250,-4668,489,174
347,-5316,-4677,489,180
348,-5327,-4678,488,186
349,-5384,-4686,488,186
350,-5444,-4693,488,194
351,-5487,-4699,489,197
352,-5588,-4711,490,200
353,-5594,-4711,490,204
354,-5691,-4723,490,207
355,-5710,-4725,490,211
356,-5838,-4739,490,217
357,-5870,-4743,490,219
358,-6005,-4757,489,222
359,-6235,-4777,490,224
360,-6393,-4790,490,227
361,-6525,-4796,490,231
362,-6527,-4796,489,235
363,-6592,-4802,489,217
364,-6672,-4823,490,208
365,-6676,-4824,490,200
366,-6750,-4859,491,194
367,-6777,-4875,490,188
368,-6859,-4947,488,182
369,-6937,-5038,487,176
370,-6948,-5052,486,171
371,-7022,-5167,484,171
372,-7029,-5181,483,172
373,-7088,-5298,483,176
374,-7106,-5337,482,180
